REGION,region_name,YEAR,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
6,Western Visayas,2020,770222000.00,1905523000.00,1196812000.00,630220000.00,2256686000.00,16871000.00,35742000.00,76117000.00,271622000.00,16838164000.00,288014000.00,10910988000.00,925421000.00,477704000.00,150923000.00,170525000.00,36921554000.00,7904899.00,850797186000.00,1896981.34,6662898.70,10710740.00
7,Central Visayas,2020,335441000.00,1627488000.00,832213000.00,360053000.00,5223534000.00,25575000.00,22945000.00,82738000.00,354996000.00,16199794000.00,285847000.00,9518993000.00,908968000.00,379033000.00,147830000.00,158214000.00,36463662000.00,7957046.00,1170115820000.00,636457.00,1711214.73,4745410.00
8,Eastern Visayas,2020,581674000.00,1706682000.00,1105169000.00,262891000.00,1273705000.00,0.00,29611000.00,152532000.00,200651000.00,15551156000.00,225397000.00,9003958000.00,873840000.00,411576000.00,136966000.00,157390000.00,31673198000.00,4742337.00,414265871000.00,1000284.37,4335543.90,1420280.00
9,Zamboanga Peninsula,2020,279286000.00,1368605000.00,964151000.00,248144000.00,2402233000.00,0.00,20761000.00,116064000.00,161348000.00,10331751000.00,237726000.00,9715156000.00,601536000.00,334298000.00,121348000.00,133428000.00,27035835000.00,3782761.00,394821669000.00,1098153.25,5707514.84,1217780.00
10,Northern Mindanao,2020,417168000.00,1356344000.00,934507000.00,354371000.00,2559728000.00,25257000.00,19543000.00,51695000.00,230281000.00,14046144000.00,323119000.00,8546750000.00,735620000.00,394335000.00,121097000.00,145429000.00,30261388000.00,5017051.00,860415357000.00,1476823.43,8113707.60,1129180.00
11,Davao,2020,350472000.00,1694161000.00,945409000.00,318420000.00,3865220000.00,22047000.00,27698000.00,317963000.00,286002000.00,17128441000.00,253955000.00,8891345000.00,623278000.00,458929000.00,124307000.00,148796000.00,35456443000.00,5290869.00,890607548000.00,965595.11,5458846.73,978170.00
12,Soccsksargen,2020,504125000.00,1654268000.00,725299000.00,223407000.00,1121223000.00,0.00,18933000.00,32587000.00,207630000.00,9623728000.00,237203000.00,8147956000.00,581919000.00,328386000.00,111862000.00,147470000.00,23665996000.00,4919936.00,467334771000.00,1790392.85,7428640.97,1219920.00
13,Metro Manila,2020,0.00,6146275000.00,1564660000.00,2570604000.00,15078089000.00,50784000.00,32616000.00,3802113000.00,952767000.00,24804381000.00,537223000.00,8380583000.00,43978106000.00,454612000.00,464456000.00,197833000.00,109015102000.00,13804656.00,5800819179000.00,,,302170.00
14,Cordillera Administrative Region,2020,259934000.00,1393932000.00,945836000.00,211243000.00,1878551000.00,28354000.00,22665000.00,27189000.00,186723000.00,10786182000.00,264233000.00,2582859000.00,587097000.00,311631000.00,80989000.00,144164000.00,19711582000.00,1807738.00,295502542000.00,343448.68,1251810.33,213830.00
16,Caraga,2020,339096000.00,1350677000.00,1247357000.00,193682000.00,960316000.00,0.00,24686000.00,29050000.00,129367000.00,8240594000.00,238093000.00,6056804000.00,565349000.00,321196000.00,93932000.00,135393000.00,19925592000.00,2753109.00,292574562000.00,631835.06,2928289.58,822180.00
17,Mimaropa,2020,249558000.00,1497726000.00,986332000.00,8236000.00,687375000.00,0.00,0.00,274223000.00,88092000.00,12475595000.00,220348000.00,6311071000.00,521937000.00,336601000.00,47455000.00,113060000.00,23817609000.00,3174859.00,342643478000.00,875908.22,4604655.57,466690.00
